Dolna Streda;1289;731;56.71;731;721;1287;573;44.52;573;564;Galanta;Trnavsky kraj
Dolne Saliby;1721;570;33.12;564;555;1725;484;28.5;484;482;Galanta;Trnavsky kraj
Dolny Chotar;300;74;24.66;74;73;301;60;19.93;60;59;Galanta;Trnavsky kraj
Galanta;12474;5936;47.58;5928;5902;12435;5244;42.17;5243;5142;Galanta;Trnavsky kraj
Gan;684;368;53.8;368;367;680;331;48.67;331;327;Galanta;Trnavsky kraj
Horne Saliby;2671;1030;38.56;1030;1015;2672;904;33.83;904;893;Galanta;Trnavsky kraj
Hoste;393;215;54.7;215;214;402;201;50;201;195;Galanta;Trnavsky kraj
Janovce - Galanta;406;223;54.92;223;223;409;198;48.41;198;198;Galanta;Trnavsky kraj
Jelka;3357;1129;33.63;1129;1117;3352;994;29.65;994;985;Galanta;Trnavsky kraj
Kajal;1249;465;37.22;465;464;1260;390;30.95;390;386;Galanta;Trnavsky kraj
Kosuty;1403;571;40.69;571;559;1410;520;36.87;520;510;Galanta;Trnavsky kraj
Kralov Brod;907;268;29.54;268;264;909;231;25.41;231;231;Galanta;Trnavsky kraj
Mala Maca;499;232;46.49;232;229;499;189;37.87;189;183;Galanta;Trnavsky kraj
Matuskovo;1888;953;50.47;953;946;1888;853;45.18;852;839;Galanta;Trnavsky kraj
Mostova;1339;485;36.22;485;484;1339;429;32.03;429;423;Galanta;Trnavsky kraj
Pata;2637;1271;48.19;1271;1259;2620;960;36.64;960;942;Galanta;Trnavsky kraj
Puste Sady;530;256;48.3;256;253;534;223;41.76;223;220;Galanta;Trnavsky kraj
Puste Ulany;1443;735;50.93;735;725;1456;629;43.2;629;620;Galanta;Trnavsky kraj
Sered;13365;6528;48.84;6528;6495;13327;5371;40.3;5371;5285;Galanta;Trnavsky kraj
Sladkovicovo;4405;1783;40.47;1783;1780;4415;1613;36.53;1613;1580;Galanta;Trnavsky kraj
Salgocka;390;192;49.23;192;189;379;143;37.73;143;142;Galanta;Trnavsky kraj
Sintava;1468;822;55.99;822;820;1461;676;46.26;676;665;Galanta;Trnavsky kraj
Soporna;3451;1555;45.05;1555;1547;3449;1307;37.89;1307;1286;Galanta;Trnavsky kraj
Tomasikovo;1331;389;29.22;389;384;1330;305;22.93;305;303;Galanta;Trnavsky kraj
Topolnica;694;369;53.17;369;367;695;308;44.31;308;305;Galanta;Trnavsky kraj
Trstice;3214;973;30.27;973;969;3217;748;23.25;748;746;Galanta;Trnavsky kraj
Vahovce;1743;637;36.54;637;633;1745;578;33.12;578;568;Galanta;Trnavsky kraj
Velka Maca;2131;787;36.93;787;780;2131;645;30.26;645;641;Galanta;Trnavsky kraj
Velke Ulany;3766;1573;41.76;1573;1565;3763;1425;37.86;1425;1412;Galanta;Trnavsky kraj
Velky Grob;1122;562;50.08;562;559;1120;470;41.96;469;463;Galanta;Trnavsky kraj
Vinohrady nad Vahom;1365;660;48.35;660;658;1364;522;38.26;522;516;Galanta;Trnavsky kraj
Vozokany - Galanta;967;348;35.98;348;346;961;335;34.85;335;332;Galanta;Trnavsky kraj
Zemianske Sady;689;301;43.68;301;300;702;252;35.89;252;249;Galanta;Trnavsky kraj
Banka;1853;1002;54.07;1002;999;1864;860;46.13;860;843;Piestany;Trnavsky kraj
Basovce;277;169;61.01;169;168;283;130;45.93;130;120;Piestany;Trnavsky kraj
Borovce;867;450;51.9;450;447;868;369;42.51;369;363;Piestany;Trnavsky kraj
Dolny Lopasov;819;411;50.18;411;410;810;342;42.22;341;332;Piestany;Trnavsky kraj
Drahovce;2168;1118;51.56;1117;1111;2164;866;40.01;866;853;Piestany;Trnavsky kraj
Dubovany;828;412;49.75;412;410;828;318;38.4;318;308;Piestany;Trnavsky kraj
Ducove;370;217;58.64;217;212;370;166;44.86;166;159;Piestany;Trnavsky kraj
Hubina;434;222;51.15;222;222;438;181;41.32;181;179;Piestany;Trnavsky kraj
Chtelnica;2156;1295;60.06;1294;1286;2150;1048;48.74;1048;1031;Piestany;Trnavsky kraj
Kocin - Lancar;433;241;55.65;241;239;437;208;47.59;208;199;Piestany;Trnavsky kraj
Krakovany;1162;679;58.43;679;678;1153;563;48.82;563;549;Piestany;Trnavsky kraj
Moravany nad Vahom;1915;1055;55.09;1055;1044;1922;857;44.58;856;845;Piestany;Trnavsky kraj
Nizna - Piestany;463;255;55.07;255;255;458;207;45.19;206;206;Piestany;Trnavsky kraj
Ostrov - Piestany;1015;556;54.77;556;552;1017;487;47.88;487;484;Piestany;Trnavsky kraj
Pecenady;463;243;52.48;243;243;465;184;39.56;184;177;Piestany;Trnavsky kraj
Piestany;23983;13007;54.23;13001;12941;23855;11770;49.33;11770;11553;Piestany;Trnavsky kraj
Prasnik;686;354;51.6;354;353;701;340;48.5;340;336;Piestany;Trnavsky kraj
Rakovice;482;279;57.88;278;276;477;211;44.23;211;203;Piestany;Trnavsky kraj
Ratnovce;844;413;48.93;413;412;844;330;39.09;330;328;Piestany;Trnavsky kraj
Sokolovce;1106;561;50.72;561;557;1100;451;41;451;441;Piestany;Trnavsky kraj
Sipkove;264;144;54.54;144;143;271;131;48.33;131;126;Piestany;Trnavsky kraj
Sterusy;410;210;51.21;210;207;407;175;42.99;175;168;Piestany;Trnavsky kraj
Trebatice;1089;590;54.17;590;589;1083;527;48.66;527;513;Piestany;Trnavsky kraj
Velke Kostolany;2283;1066;46.69;1066;1061;2270;849;37.4;849;831;Piestany;Trnavsky kraj
Velke Orviste;885;417;47.11;416;413;893;385;43.11;385;375;Piestany;Trnavsky kraj
Vesele;975;510;52.3;510;504;975;411;42.15;411;402;Piestany;Trnavsky kraj
Vrbove;4842;2521;52.06;2518;2508;4846;2209;45.58;2207;2147;Piestany;Trnavsky kraj
Bilkove Humence;170;97;57.05;97;96;179;88;49.16;88;86;Senica;Trnavsky kraj
Borsky Mikulas;3259;1456;44.67;1456;1449;3274;1214;37.08;1214;1193;Senica;Trnavsky kraj
Borsky Svaty Jur;1327;572;43.1;572;569;1295;544;42;544;535;Senica;Trnavsky kraj
Cerova;958;570;59.49;570;568;938;529;56.39;529;519;Senica;Trnavsky kraj
Cary;1021;430;42.11;430;428;1012;355;35.07;355;351;Senica;Trnavsky kraj
Castkov;476;311;65.33;311;304;481;269;55.92;269;267;Senica;Trnavsky kraj
Dojc;1002;526;52.49;526;513;1009;400;39.64;400;386;Senica;Trnavsky kraj
